,Store Name,Street Address,Borough,Year Awarded,Council District,NTA,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Code
66,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
67,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
68,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
69,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
70,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
71,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
72,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
73,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
74,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
75,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
76,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
77,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
78,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
79,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
80,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
81,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
82,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
83,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
84,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
85,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
86,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
87,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
88,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
89,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
90,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
91,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
92,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
93,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
94,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
95,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
96,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
97,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
98,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
99,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
100,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
101,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
102,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
103,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
104,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
105,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
106,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
107,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
108,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
109,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
110,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
111,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
112,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
113,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
114,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
115,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
116,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
117,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
118,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
119,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
120,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
121,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
122,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
123,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
124,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
125,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
126,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
127,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
128,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
129,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
130,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
131,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
132,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
133,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27300.0,4003.0,BK35
134,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27500.0,4003.0,BK35
135,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27700.0,4003.0,BK35
136,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27900.0,4003.0,BK35
137,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28100.0,4003.0,BK35
138,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28300.0,4003.0,BK35
139,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28502.0,4003.0,BK35
